Quantile,PrecipMean,PrecipVar,TempMean,TempVar
90.0,0.16273479980850522,0.001993668329605891,0.039989335821077325,0.0005103970368745883
90.5,0.16442010270515742,0.0020685017019990396,0.04007311208321767,0.000518951663436643
91.0,0.16606691410185997,0.0021478631612916184,0.0401213734778224,0.0005271911269492496
91.5,0.16799646757935044,0.002241152653015548,0.040213682271609874,0.000536465952499749
92.0,0.16985985869423456,0.002339761472102762,0.040270512545191095,0.0005448475285189528
92.5,0.17200173905801933,0.00245697585723907,0.04037065358887344,0.0005552962611725605
93.0,0.17417008366751208,0.0025827329910056247,0.040429026467944995,0.0005655515778106839
93.5,0.17659384711942458,0.0027287703703864946,0.040505719083716134,0.0005776026802084575
94.0,0.17940121854612479,0.0029044685513857555,0.04060834990295374,0.0005912375278033677
94.5,0.1821579577714644,0.0030968343318029754,0.04066090447149124,0.0006044491737138679
95.0,0.18541821122140775,0.003334264391282739,0.04074959378413992,0.0006195353092754223
95.5,0.18910935754825361,0.003620246263702674,0.04085213288215118,0.0006361579685576537
96.0,0.19328083224876022,0.00397959413970291,0.04095103908045758,0.0006536997588175991
96.5,0.19810686421052495,0.004413461243548158,0.041051827367720374,0.0006737465563596093
97.0,0.20389351343082815,0.004978623210302496,0.04114205501972516,0.0006964283161889315
97.5,0.21088806039627012,0.0057502261501161675,0.04118487013422211,0.0007245716499439665
98.0,0.220209547013061,0.006905230902586348,0.04128930786483866,0.0007620975318136171
98.5,0.23106311321726897,0.008589333359604505,0.04113211374983243,0.000799077381024164
99.0,0.2535217152382843,0.01221832927950795,0.041912525896650316,0.0008952967542383342
99.5,0.2952547412886906,0.022053480851897345,0.04293306518101011,0.0010827814478744614
