Quantile,PrecipMean,PrecipVar
90.0,0.16244156168401166,0.0018119287220055272
90.5,0.16400222757763508,0.0018818098881739182
91.0,0.1656914626911248,0.0019610658887180637
91.5,0.16757825797827422,0.0020530239624184403
92.0,0.16941310126339107,0.0021487044435162805
92.5,0.171537895214211,0.0022590016956340764
93.0,0.17370012888665978,0.0023860655710535132
93.5,0.17614040884011795,0.0025298630338602243
94.0,0.17895457968787024,0.0027044307602405327
94.5,0.18174132371933044,0.002895547114295793
95.0,0.1850472420317047,0.0031309035413486074
95.5,0.1887645740710421,0.0034141705508134307
96.0,0.1930659724383852,0.003766403313939981
96.5,0.19802245613216718,0.00419727717279891
97.0,0.20435281457184223,0.004787507988390462
97.5,0.2113483619898864,0.0055509779547763755
98.0,0.22070390664218253,0.0066571118367605734
98.5,0.23291201246289175,0.008356374500335264
99.0,0.2558174159311735,0.011826047688921777
99.5,0.301341608144762,0.02145589640771089
